Pays,TCAM,indexpolitic,Disponibilité alimentaire en quantité (kg/personne/an),Exportations - Quantité,Importations - Quantité,Nourriture,TCAM_pib
Thaïlande,0.2875655356203932,-0.88,12.95,796.0,2.0,896.0,4.458474305715576
Timor-Leste,1.5462674386177877,0.0,4.24,0.0,11.0,5.0,1.8197698156150464
Togo,2.0211245728297023,-0.54,7.06,0.0,16.0,54.0,4.614718802206519
Trinité-et-Tobago,0.4004659606797967,0.28,54.54,0.0,23.0,75.0,-2.9319897355949864
Tunisie,0.8914761896800627,-1.0,17.03,4.0,0.0,195.0,-3.5434993332688847
Turkménistan,1.369058407309387,-0.11,4.52,0.0,9.0,26.0,-2.528887063998253
Turquie,1.2898423433479689,-1.65,20.64,429.0,3.0,1674.0,-3.6787583418455214
Ukraine,-0.3866389124800862,-1.89,22.62,273.0,121.0,1006.0,-0.3928720931839269
Uruguay,0.2856733607499828,1.04,9.12,3.0,3.0,31.0,1.2985200302399136
Vanuatu,2.0926979751416,0.66,11.66,0.0,4.0,3.0,2.336274225682033
Venezuela (République bolivarienne du),-0.7815870357528509,-1.16,20.28,0.0,25.0,596.0,-10.909433113488696
Viet Nam,0.8220408962677839,0.15,12.33,1.0,291.0,1166.0,5.660055242849427
Yémen,1.9910323502314584,-2.86,8.53,0.0,78.0,237.0,-7.170180563560457
Zambie,2.415454742821188,0.13,3.42,1.0,12.0,58.0,-0.2872299640748199
Zimbabwe,1.223975569813862,-0.67,4.68,0.0,6.0,67.0,4.514273084477249
Égypte,1.709723665687557,-1.38,12.96,1.0,110.0,1250.0,-3.660838343011508
Émirats arabes unis,0.888720806685428,0.66,43.47,94.0,433.0,412.0,0.9290450156758334
Équateur,1.3812346066688574,-0.1,19.31,0.0,0.0,324.0,1.1218727542029017
États-Unis d'Amérique,0.5231180607672137,0.45,55.68,3692.0,123.0,18100.0,3.1827135667859885
Éthiopie,2.172782588119304,-1.52,0.13,0.0,1.0,14.0,8.169578556352564
Îles Salomon,2.1466913382819364,0.43,4.45,0.0,6.0,3.0,3.3479804780005784
