Zone_x,Code zone,pop_2017,TCAM,prixpoulet,indexpolitic,Disponibilité alimentaire (Kcal/personne/jour),Exportations - Quantité,Importations - Quantité,Nourriture,TCAM_pib,Investment,Pib_hab17
Géorgie,73,4008716.0,-0.16094601412570686,1739.1,-0.4,51.0,5.0,51.0,61.0,-0.031567106253294064,1980.773343,4051.8428040300187
Haïti,93,10982366.0,1.0656200648581526,2304.6444444444446,-0.68,31.0,3.0,89.0,98.0,1.6249635022557385,374.86,1387.4388263876838
Honduras,95,9429013.0,1.3730337991828767,1060.9333333333332,-0.5,93.0,1.0,12.0,205.0,4.026730787757149,1175.7,2453.7295733922524
Hongrie,97,9729823.0,-0.19965766116036843,904.3,0.74,104.0,210.0,58.0,246.0,2.624137917234326,3514.894612,14711.084219825992
Inde,100,1338676785.0,0.8654317902431874,1319.1000000000001,-0.91,7.0,4.0,0.0,2965.0,6.211814451580855,37366.0,1960.3903404099146
Indonésie,101,264650963.0,0.9644456736007001,2121.8,-0.51,25.0,0.0,1.0,1904.0,3.1902571773005928,20579.22,3837.578116691002
Iran (République islamique d'),102,80673883.0,1.094817349138566,2068.85,-1.01,96.0,45.0,6.0,2220.0,2.1871863932910296,5019.0,6243.780412416742
Iraq,103,37552781.0,2.2351771863619474,2186.4,-2.35,52.0,0.0,470.0,561.0,-0.09194785532234961,-5032.4,4985.453727834431
Irlande,104,4753279.0,0.8158523374491855,1056.55,0.94,100.0,93.0,99.0,123.0,8.28477293851031,52834.920539,70568.3024440602
Islande,99,334393.0,0.48935322717262864,4442.8,1.36,104.0,0.0,2.0,10.0,8.011192043519832,-41.407008,73949.76921466658
Israël,105,8243848.0,1.3080557569505435,1760.4,-0.92,234.0,3.0,0.0,556.0,3.7419092925537356,16893.0,43096.0696970638
Italie,106,60673701.0,0.07196136883356186,1619.0,0.35,65.0,183.0,97.0,1146.0,-0.6303833651812529,24047.083743,32333.550863396318
Jamaïque,109,2920848.0,0.4119321485043015,1521.0,0.29,178.0,1.0,31.0,149.0,2.506644033558736,888.833494,5070.097884929308
Japon,110,127502725.0,-0.15126558838383097,2036.3,1.05,67.0,10.0,1069.0,2359.0,0.5649406741051077,9355.587239,38672.407739920855
Jordanie,112,9785843.0,2.243727611899038,1688.3833333333332,-0.48,98.0,10.0,64.0,275.0,3.1038964024260096,2029.71831,4231.464852236031
Kazakhstan,108,18080019.0,1.1488463548542382,1197.7,-0.01,61.0,6.0,174.0,330.0,-4.127561555870929,4714.081831,9225.974207604539
